content,valence,arousal,dominance
object,5.52,4.08,5.91
lesbian,5.76,6.04,5.34
appropriate,6.1,4.04,5
machine,5,4.39,4.8
logo,5.53,3.32,5
length,5.21,3.41,5.67
nice,6.95,3.53,6.47
score,6.5,6.35,7.32
client,5.22,2.95,4.83
capital,5.29,3.14,5.85
follow,4.82,3.76,4.81
sample,5.76,2.87,5.71
investment,5.14,4.73,5.19
christmas,8.37,5.9,6.14
culture,6.28,4.06,5.71
band,6.44,4.52,5.56
flash,5.53,5.38,4.94
lead,5.56,3.95,5.22
choice,6.36,3.52,6.56
registration,4.79,3.09,5.32
consumer,5.95,3.82,5.21
airport,6,5.5,5.79
foreign,4.86,5.43,4.79
artist,6.76,4.1,6.95
furniture,5.79,3.05,5.43
channel,5.67,2.68,5.52
letter,5.68,3.19,5.97
mode,5.25,3.43,6.1
structure,5.68,4,5.83
fund,6.55,4.59,6.05
summer,7.5,5.48,6.61
allow,6.39,2.95,6.11
degree,5.63,4.1,5
contract,5.1,3.95,6.84
button,5.48,4.1,6.53
wed,6.79,4.95,5.68
super,7.05,4.25,6.91
male,6.91,4.5,5.89
matter,5.82,4.05,6.12
custom,5.29,4,5.56
multiple,5,4,5.64
distribution,5.5,3.45,5.21
editor,5.43,4.09,5.9
inn,5.71,3.26,5.52
industrial,4.65,4.72,5.08
cause,5.14,3.48,5.17
potential,6.86,4.09,6.47
song,7.59,4.6,6.95
focus,6.48,4.45,6.84
late,3.32,5.57,4.22
fall,3.89,4.24,3.83
idea,7.05,4.66,6.11
rooms,5.65,3.48,5.15
female,7.52,5.9,6.42
responsible,6.28,3,7.39
win,6.97,5.61,7.86
primary,5.32,3.25,6.35
cancer,1.9,5.14,2.9
reason,6.27,3.33,6.11
tool,5.07,3.91,5.98
spring,7.64,5.5,5.9
foundation,5.86,2.41,6.41
answer,6.1,4,5.95
voice,6.5,3.25,6.22
friendly,7.84,4.27,7.6
schedule,4.71,3.35,6.95
documents,5.35,3.73,6.33
communication,6.73,4.16,6.43
purpose,6.67,5.05,7.42
feature,5.6,3.91,6.26
bed,7.16,3,6.73
police,4.59,5.95,3.44
independent,6.86,6.75,7.36
approach,5.45,4.48,6.03
brown,5.52,3.32,4.65
physical,5.9,5.5,7.26
hill,5.41,3.15,6.95
medicine,5.9,4,5.35
deal,6.14,3.9,6.12
hold,6.05,4.86,5.67
glass,5.48,3.14,5.42
happy,8.47,6.05,7.21
thank,7.77,3.33,6.89
safe,7.7,3.14,7.21
unique,7.32,4,6.43
survey,5.55,3.68,6.93
prior,4.32,3,5.17
telephone,5.71,4.3,6.74
sport,6.95,4.7,6.21
ready,6.64,3.9,6.06
feed,6.95,4.55,6.79
animal,7.06,4.3,5.72
population,4.81,3.96,4.24
regular,6.09,3.65,6.74
secure,7.08,3.6,7
navigation,5.84,4,6.59
evidence,4.72,3.9,4.61
station,5.5,3,4.61
round,5.89,2.5,4.78
favorite,7.39,4.4,7
understand,6.68,3.52,6.71
option,6.37,3.19,6.36
master,5.72,4.4,4.17
valley,6.22,2.7,5.12
sea,6.56,2.8,5.22
blood,3.48,5.76,3.94
cut,3.9,5.07,4.55
improve,6.14,4.61,6.04
connection,6,4.45,7.21
publisher,5.05,3.39,5.54
hall,5.89,2.57,4.22
anti,4.47,4.23,5.05
earth,6.83,5.04,5.69
impact,5.76,5.85,5.25
transfer,5.29,3.22,5.5
introduction,5.81,3.9,5.36
kitchen,6.17,3.52,5.89
strong,6.81,5.14,6.54
wedding,7.35,5.32,5.08
hospital,3.52,5.07,3.93
ground,5.28,2.35,5.5
overview,4.85,3.18,5.38
ship,6.14,3.94,5.84
accommodation,6.76,4.72,6
disease,1.68,5.5,2.8
excellent,7.56,5.15,7.22
perfect,7.19,4.71,6.53
hair,6.18,3.71,6.69
opportunity,7.1,5.5,7.11
kit,6.1,3.68,6.29
classic,6.32,3.62,6.29
basis,5.42,2.68,5.18
command,4.19,4.65,7.21
express,5.53,4.79,6.57
award,7.86,5.85,6.9
distance,3.89,3.81,4.25
tree,7.59,2.67,5.62
assessment,5.22,2.75,5.44
ensure,5.71,3.57,5.96
wall,5.06,2.9,4.22
extra,6.39,2.9,5.72
interface,5.32,3.35,6.15
budget,4.56,3.33,4.9
success,7.49,5.8,6.38
maximum,4.7,5.05,5.62
operation,2.94,5.71,3.78
existing,4.83,5.05,6.46
boy,5.84,4.11,5.5
beautiful,7.61,5.71,6.17
warning,3.48,6.25,6.47
wine,5.85,4.24,5.67
horse,6.05,4.16,5.71
vote,5.24,5.05,6.79
significant,6.6,4.9,6
owner,6.38,4.71,6.59
retail,5,3.62,6.12
useful,7.1,3.82,6.81
manufacturer,4,3.61,4.95
son,6.91,4.43,5
rule,4.5,3.67,3.61
housing,5.85,2.73,6.12
bring,5.68,4.29,5.72
catalog,5.95,2.33,5.76
mother,7.53,4.73,6.11
authority,4.76,5.35,5.19
traffic,2.18,5.25,5.58
input,5.05,3,6.17
strategy,5.95,4.15,6.67
agent,5.23,3.43,5.65
valid,6.05,4,6.64
bin,4.95,3.04,5.21
modern,6.05,5.4,5.31
senior,4.79,3.44,5.26
door,5.43,3.19,6.1
grand,6.28,3.75,6
trial,3.28,5.05,3.89
charge,4.61,4.25,5.17
cool,6.82,3.43,6.44
normal,6.17,2.29,6.39
enterprise,6,4,5.65
entire,5.67,2.85,5.06
educational,6.6,4.52,5.68
metal,5.05,3.48,6.54
positive,7.57,5.5,7.26
fitness,6.45,5.32,6.96
opinion,6.38,4.53,6.28
football,6.52,5.65,5.42
abstract,5.25,3.96,5.53
output,4.85,3.67,6.21
likely,6.9,4.42,6.14
develop,6.05,4.5,6.71
alternative,5.33,3.61,6.33
processing,5.53,3.39,6
responsibility,4.68,5.3,6.79
resolution,6,3.7,6.42
java,5.9,5.05,6.16
guest,6.14,4.15,6.95
publication,5.48,2.79,4.63
pass,5.73,4.38,4.78
trust,7.24,4.3,6.95
van,4.43,4.35,5.35
session,5.1,3.38,5.21
photography,6.67,3.96,6.2
republic,4.8,3.48,5.16
vacation,8.53,5.22,7.11
century,5.36,3.19,4.68
academic,6.61,3.32,6.21
assistance,5.82,3.82,6.45
skin,5.78,3.25,5
graphics,6.67,4.65,5
ring,7.09,4.43,5.44
grade,5.18,4.75,6.74
mountain,6.65,4.12,6.18
pop,6.05,4.45,5.68
filter,5.5,3.62,5.62
mailing,5.33,3.14,5.88
vehicle,6,4.68,5.8
consider,6.56,2.71,6.06
northern,5.65,3.17,5.08
panel,4.81,2.92,5
floor,5.14,3.33,6.39
match,5.61,3.05,6.06
default,4.16,4.57,4.7
require,4.74,4.33,4.79
outdoor,7.33,3.55,5.2
deep,5.44,3.9,4.94
morning,6.41,3.95,6.35
rest,7.86,2.29,5.78
protein,6.55,2.95,5.08
plant,7.05,3.94,6.45
hit,3.95,5.48,5.15
transportation,6.1,2.38,5.37
pool,6.78,3.65,6.39
mini,5.86,3,5.16
politics,4,3.44,3.42
partner,7.11,3.7,6
faculty,5.63,4.86,4.87
fish,6.42,3.33,6.08
membership,5.61,4.45,5.5
mission,6.39,5.52,4.89
eye,6.18,3.95,5.72
string,5.25,3.8,5.62
sense,6.09,3.7,6.29
pack,5.55,4.1,6.05
stage,5.67,3.76,4.5
internal,5.18,3.67,6.25
born,7.33,3.9,3.78
detailed,6.1,4.35,5.47
race,5.44,5.2,4.56
background,5.05,3.67,5.57
target,5.24,5.35,6.42
character,6.14,4.35,7.37
maintenance,5.95,2.81,5.28
ability,7,4.85,6.55
pretty,7.7,5.5,6.7
southern,5.67,3.09,5.39
winter,5.5,2.77,4.41
battery,4.26,3.95,4.35
youth,6.53,4.14,5
pressure,3.56,4.48,4.4
debt,1.95,5.93,3.71
medium,4.85,3,5.22
television,7.18,4.1,6.21
interested,6.83,4.45,6.83
core,6.19,3.24,5.89
break,5.1,4.71,4.5
dance,7.27,5.48,6.28
wood,5.82,3.5,6.37
fee,2.86,4.08,4.12
studio,6.24,4.79,5.57
reader,6.52,4.45,6.95
virtual,6.1,4.24,5.72
device,5.79,3.42,5.95
rent,4.41,4.25,5.68
remote,5.42,3.5,5.54
dark,5.08,4.09,4.61
programming,5.11,3.5,6.24
external,5.37,3,5.5
apple,6.62,3.52,6.44
theory,5.65,4.41,5.76
enjoy,7.67,5,7.28
remove,4.21,3.11,4.56
aid,6.29,4.55,5.95
surface,5.62,3.04,5.16
minimum,4.8,3.27,5.22
visual,6,4.43,5.78
host,5.7,3.21,5.75
variety,6.41,5.16,5.76
manual,4.95,3.17,6.48
block,4.48,4.25,6.21
repair,4.89,3.38,5.78
fair,7.14,3.29,6.12
civil,5.8,2.95,6.04
steel,4.95,3.86,5.68
understanding,7.14,3.09,7.31
wrong,3.24,5.29,3.39
beginning,6.39,3,5.72
sector,4.67,4,5.18
capacity,5.14,3.67,6.08
fat,2.74,3.89,4
father,6.88,3.68,5.19
electric,6.1,4.05,5.48
